run_date,ticker,type,expiration,spot_at_scan,long_strike,short_strike,low_strike,mid_strike,high_strike,net_cost,max_profit,prob_profit,ev,graded,actual_spot_at_exp,actual_payoff,actual_pnl,win
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,385.0,390.0,395.0,1.0999999999999996,3.9000000000000004,0.09148431709121674,-0.642578414543916,no,,,,
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,390.0,395.0,400.0,0.9000000000000004,4.1,0.0871812431073608,-0.46409378446319627,no,,,,
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,395.0,400.0,405.0,0.9499999999999993,4.050000000000001,0.07600687694619057,-0.5699656152690464,no,,,,
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,400.0,405.0,410.0,0.75,4.25,0.06878746260637081,-0.40606268696814596,no,,,,
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,405.0,410.0,415.0,0.6499999999999995,4.3500000000000005,0.05959169828817079,-0.3520415085591455,no,,,,
2026-07-07,GOOG,Butterfly Pin,2026-08-21,363.6199951171875,,,385.0,390.0,395.0,1.4000000000000021,3.599999999999998,0.047640163040912065,-1.1617991847954419,no,,,,
2026-07-07,GOOGL,Butterfly Pin,2026-08-21,367.0299987792969,,,375.0,380.0,385.0,1.5500000000000007,3.4499999999999993,0.05263892078955251,-1.286805396052238,no,,,,
2026-07-07,GOOGL,Butterfly Pin,2026-08-21,367.0299987792969,,,380.0,385.0,390.0,1.3499999999999979,3.650000000000002,0.05300692799972506,-1.0849653600013724,no,,,,
2026-07-07,GOOGL,Butterfly Pin,2026-08-21,367.0299987792969,,,390.0,395.0,400.0,1.4999999999999964,3.5000000000000036,0.04460332078419771,-1.2769833960790078,no,,,,
2026-07-07,IWM,Debit Vertical,2026-08-21,296.19000244140625,310.0,315.0,,,,1.2500000000000002,3.75,0.2071214512520086,-0.21439274373995731,no,,,,
